index,A,B,C,D,E
1476,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0.0
781,0.0,0.0,0.0,0.8275862068965518,0.17241379310344823
2374,0.0,0.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
270,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.0
9,0.0,0.0,1.0,0.0,0.0
2535,0.0,0.0,0.09090909090909091,0.7272727272727273,0.18181818181818182
424,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0
1110,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.0
2515,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.0
2274,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,0.0
2398,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0
406,0.0,0.21052631578947367,0.0,0.42105263157894735,0.3684210526315789
606,0.0,0.0,0.4,0.6,0.0
2613,0.0,0.2,0.0,0.6,0.2
705,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364
1087,0.0,0.0,1.0,0.0,0.0
614,0.0,0.08438818565400844,0.0,0.06329113924050632,0.8523206751054851
1324,0.0,0.0,0.0,1.0,0.0
1431,0.0,0.0,0.0,1.0,0.0
863,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
122,0.0,0.0,0.5454545454545454,0.45454545454545453,0.0
1033,0.0,0.0,0.0,1.0,0.0
1968,0.0,0.0,0.0,0.5,0.5
2443,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
1765,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
1308,0.0,0.0,0.0,0.25,0.75
2018,0.0,0.1923076923076923,0.0,0.40384615384615385,0.40384615384615385
2323,0.0,0.2,0.2,0.6,0.0
467,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
140,0.0,0.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
2098,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.0
28,0.0,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0
242,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453
2786,0.0,0.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
1794,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0
1273,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855
856,0.0,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.09090909090909091
1926,0.0,0.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
2346,0.0,0.0,0.0,1.0,0.0
2834,0.0,0.0,0.0,0.5,0.5
2472,0.0,0.0,0.0,0.5,0.5
1199,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
587,0.0,0.1111111111111111,0.0,0.6666666666666666,0.2222222222222222
1448,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727
2446,1.0,0.0,0.0,0.0,0.0
2879,0.0,0.0,0.0,0.09523809523809523,0.9047619047619048
1567,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
1234,0.0,0.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
1685,1.0,0.0,0.0,0.0,0.0
1896,0.0,0.2,0.0,0.6,0.2
1778,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.0
2038,0.0,0.09433962264150944,0.07547169811320756,0.18867924528301888,0.6415094339622641
2670,0.0,0.0,0.0,0.0,1.0
1350,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364
1440,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0
2369,0.0,0.0,0.0,0.0,1.0
161,0.0,0.2222222222222222,0.0,0.3333333333333333,0.4444444444444444
24,0.0,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.09090909090909091
1548,0.0,0.0,0.0,0.0,1.0
2636,0.0,0.0,0.2692307692307692,0.23076923076923078,0.5
1236,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727
1583,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,0.0
2291,0.0,0.0,1.0,0.0,0.0
2132,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0
746,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778
1090,0.0,0.8181818181818182,0.18181818181818182,0.0,0.0
2511,0.0,0.0,0.2727272727272727,0.7272727272727273,0.0
1174,0.0,0.0,0.0,1.0,0.0
502,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0.0
1801,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0.0
375,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0
709,0.0,0.08982035928143713,0.0,0.25149700598802394,0.6586826347305389
323,0.19354838709677422,0.3225806451612903,0.3870967741935484,0.09677419354838711,0.0
2295,0.0,0.0,0.5,0.5,0.0
2454,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
1631,0.09090909090909091,0.6363636363636364,0.2727272727272727,0.0,0.0
632,0.0,0.0,1.0,0.0,0.0
1607,0.0,0.09090909090909093,0.5454545454545455,0.18181818181818185,0.18181818181818185
1612,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
529,0.0,0.8181818181818182,0.18181818181818182,0.0,0.0
592,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0
1423,0.0,0.8181818181818182,0.18181818181818182,0.0,0.0
2099,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.0
1863,0.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.0
144,0.0,0.0,0.0,0.5,0.5
589,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0.0
673,0.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.0
2353,0.0,0.8181818181818182,0.18181818181818182,0.0,0.0
789,0.0,0.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
2164,0.0,0.5,0.5,0.0,0.0
531,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0
1879,0.0,0.0,0.0,0.0,1.0
2724,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714
2812,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0
484,1.0,0.0,0.0,0.0,0.0
2420,0.0,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0
157,0.0,0.0,0.0,1.0,0.0
1453,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.0
1315,0.0,0.0,0.0,1.0,0.0
1224,0.0,0.0,0.0,1.0,0.0
1141,0.0,0.5,0.5,0.0,0.0
591,0.4,0.6,0.0,0.0,0.0
